,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-30,0.03915650665931385,66.28601160592402,-2.233804808865196,-2.2466783748897057,-2.1792182035,-2.1824621757965685,-2.277607654,-2.224387849039216,-2.2615984941764706,-2.1527054168235296,-2.1786130418284313,-2.22404643975,-2.1934676480612745,-2.2485582310269607,-2.1714728354264703,-2.263164298970588,-2.1531125074338235,-2.2372488041740195,-2.2000689065490193,-2.1781665145122546,-2.2431898269387256,-2.207113781218137,-2.190471361223039,-2.162571836002451,-2.185508333303922,-2.2226818718750003,-2.2795740136691176,-2.149139614414216,-2.2308779295808825,-2.2108436855563727,-2.1999885275955884,-2.236825126382353
2018-05-31,0.5287568659287634,40.237705943658604,-1.3192864996034945,-1.390284098998656,-1.3249671563373655,-1.3161616174798387,-1.367554668388441,-1.351875100736559,-1.3689625377244623,-1.357147082891129,-1.313425237545699,-1.37627343777957,-1.332184848389785,-1.3858617370430109,-1.3474951579569894,-1.3668092263817204,-1.3299955889758066,-1.3436644781505376,-1.3725538489784945,-1.3826069181935483,-1.3854836364193548,-1.3654675172580644,-1.356477554,-1.3869022890026883,-1.3713286028561829,-1.3645493949193548,-1.3235529499005376,-1.4110364753091398,-1.3776851747553762,-1.3923085266303765,-1.3463898280658602,-1.3381716189153225
2018-06-30,0.30638124204166667,36.11154163545972,-1.2204589293805557,-1.1918462369583334,-1.2080626411333333,-1.1848219694791666,-1.1933442388833333,-1.2017198551444446,-1.234312090626389,-1.2734177663444444,-1.1607047664319445,-1.2626352389930555,-1.2464146156208333,-1.2077480819152777,-1.2047171593305555,-1.1825822231666667,-1.2200787412513887,-1.182353160026389,-1.2221597696722222,-1.2840426690791666,-1.213263923025,-1.2060757221833334,-1.2446647663680557,-1.191539620061111,-1.1951826324222221,-1.2265554970194443,-1.179544747163889,-1.2033796848847222,-1.246671808425,-1.2173084946458332,-1.217792491463889,-1.194523336401389
2018-07-31,1.0820883396236558,30.214153447661293,-1.0431557764139785,-1.0560263782620969,-1.0182277684731182,-1.0295922268293012,-1.095352877875,-1.0510860405147848,-1.0746275952526883,-1.03297559890457,-1.0137129566948924,-1.0549486205766128,-1.0809832559516128,-1.030534829079301,-1.0715071144663977,-1.0552514431854838,-1.0101173834798387,-1.068753257201613,-1.0142340287271505,-1.0199725527755377,-1.0468134108172042,-1.0656551789758064,-1.050648659794355,-1.0660702166908602,-1.012374965081989,-1.0675034305201614,-1.0356965551438173,-1.0080527356465054,-0.9864721332392474,-1.0297483819139783,-1.0537321823400538,-1.0524142324569894
2018-08-31,0.07698381833333333,35.19371819189651,-1.1756710288024195,-1.2288639462983872,-1.127340468983871,-1.121064618969086,-1.1659934088454302,-1.200879106452957,-1.1324127006196236,-1.1758400088991936,-1.1732019506061828,-1.145583743376344,-1.1990002002311828,-1.1395498750900537,-1.1957140774139785,-1.166521828064516,-1.2265453515107527,-1.1902129186438173,-1.1461376399435483,-1.1452065994448923,-1.196695085889785,-1.2125389925819894,-1.1589215907540322,-1.1981205478763441,-1.1456522210510751,-1.1952006142163978,-1.1667127853669355,-1.2094059561666668,-1.1674953728870967,-1.185230394142473,-1.210323502657258,-1.1686654744435483
2018-09-30,0.0,40.51834847791805,-1.3586045422263888,-1.2901686090722222,-1.3194115907333333,-1.367433548536111,-1.3094825750805554,-1.3068235377152777,-1.3659682151194443,-1.3510191010333332,-1.3907437078722222,-1.3743205466541668,-1.3324434168555555,-1.354247497859722,-1.3581983321777777,-1.4227836631736113,-1.3400607153000001,-1.3397711209125,-1.3454597013569445,-1.3412405996611112,-1.3238364941999998,-1.3596279447444446,-1.418463772738889,-1.3403992493027779,-1.3650070165069446,-1.329798658188889,-1.2964215515708335,-1.3467346555902777,-1.3872139916958335,-1.3460613445347223,-1.3676104769069444,-1.3689923005972222
2018-10-31,4.29644732352957,81.87089179983064,-2.892176463204301,-2.8259153868037634,-2.8301587904448926,-2.8901505284005373,-2.9027875330994624,-2.9208118652352146,-2.9066495065752687,-2.884767332869624,-2.812797032245968,-2.8746856674018817,-2.8857307248212365,-2.8639278500215055,-2.902267954826613,-2.8070631100483876,-2.919917761516129,-2.9087455581881723,-2.906665850513441,-2.832482370620968,-2.808897433217742,-2.8473311012002687,-2.897327862903226,-2.8380961681586023,-2.88789571555914,-2.8626048056088713,-2.859811197465054,-2.8789944215927417,-2.836209088295699,-2.886018604181452,-2.89066958090457,-2.9057818574354837
2018-11-30,10.516707113456944,88.91148382088612,-3.3434185805986107,-3.359832609622222,-3.2819027822305555,-3.343409779648611,-3.2516895667402776,-3.385633734826389,-3.2821591138944446,-3.3598966993277775,-3.310019059348611,-3.300122977984722,-3.272631115736111,-3.2829042574083336,-3.3505206245111108,-3.318009847370833,-3.3680495009569444,-3.2510864678166667,-3.3253883504694444,-3.287931625175,-3.3236645541319447,-3.277888154070833,-3.321080016661111,-3.2146723015166665,-3.283953695661111,-3.308419428238889,-3.358759185826389,-3.3049572844444444,-3.366603249322222,-3.3047018006972224,-3.344726747184722,-3.3441578229208333
2018-12-31,24.04259130879839,107.89238541642607,-4.472240371456989,-4.30022776005242,-4.213839734649193,-4.26311862897043,-4.254982544973118,-4.248541133368279,-4.364775108927419,-4.223939707245968,-4.3231622696250005,-4.417652008780914,-4.366023866458333,-4.414099352202957,-4.470295505922043,-4.472090890551075,-4.442869824608871,-4.448915772553764,-4.434156551568548,-4.435892033044355,-4.427915576337366,-4.434313832072581,-4.461145557990592,-4.470840050989247,-4.431829436524194,-4.4703673612110215,-4.5257356323991935,-4.454009690301075,-4.375236821049731,-4.4488785272876346,-4.46469497215457,-4.403186201947581
2019-01-31,47.06951879912366,110.74666620697447,-5.322967755092742,-5.105033640381721,-5.125401763845431,-5.177830187994624,-5.063929216969086,-5.192118506994624,-5.226604869151882,-5.149114245673387,-5.2378895957983875,-5.208363056319892,-5.272040915869623,-5.30433361195699,-5.309094377982527,-5.369336507491935,-5.272364232795699,-5.355745499508064,-5.329021822037634,-5.259013342393817,-5.274522093022849,-5.331276667810483,-5.2670025900497315,-5.2616495236317204,-5.2264825681357525,-5.27091426582258,-5.302366194778226,-5.32433252460215,-5.326970321069893,-5.306187855420699,-5.369808543916666,-5.274468709579301
2019-02-28,19.659243954699406,111.82450655436162,-4.286216534162203,-4.320002585575893,-4.323369351729166,-4.405456736452381,-4.336023099965773,-4.3561430587723216,-4.395417681592262,-4.4071758074166665,-4.3928135661339285,-4.362268440150298,-4.422164447705358,-4.424692127755953,-4.323444282544643,-4.451762530284226,-4.388842112260416,-4.398270871380952,-4.402125836313989,-4.340374143107143,-4.3897007659166665,-4.490829386696428,-4.3930066736607145,-4.371900521316964,-4.466301358456845,-4.367394462440476,-4.3675089858065475,-4.355918684355655,-4.394950411267857,-4.355401036293155,-4.407159006784226,-4.387116002761904
2019-03-31,4.835910755321237,105.11096933371773,-3.6699239788669353,-3.6762794226760755,-3.6436362446639787,-3.649400488186828,-3.7250924907795695,-3.7505823973198926,-3.5976717495981183,-3.6715131687096774,-3.6953654876478494,-3.6429663375551073,-3.678124088717742,-3.6284929838467743,-3.6679840900107528,-3.647150755254032,-3.6319063772419358,-3.645810824662634,-3.6722910680940863,-3.645719586735215,-3.6791590748709675,-3.6601165656330648,-3.6570977618615594,-3.6812375699583333,-3.6505756772405915,-3.7207194321612906,-3.6942389851491937,-3.619064767079301,-3.719360146616936,-3.6125288258091395,-3.6779096485147846,-3.634960093576613
2019-04-30,0.009019387256410268,65.96918880688783,-2.2126594834935895,-2.130212043080128,-2.1956630576089746,-2.2865375304326925,-2.211645276971154,-2.2653445107371795,-2.1362017470032053,-2.119921247445513,-2.1462889643717946,-2.17642244025,-2.1767447355641028,-2.217487003144231,-2.1694174757788462,-2.2701711016346153,-2.273526767301282,-2.191634954932692,-2.2082241210096156,-2.2585794386826925,-2.206948034817308,-2.289970173125,-2.0607996983878203,-2.1648252212628205,-2.208348236266026,-2.169804722195513,-2.1869029706602565,-2.180239338673077,-2.309508629900641,-2.2361933209935896,-2.1574175803365385,-2.160568368083333
